file,filter,mean,std,min,25%,50%,75%,max
PGC0000243_i.fits,i,9.644452,58.607872,-28.82948,-1.5827378034591675,3.9857406616210938,10.285545349121094,4169.115
PGC0000255_i.fits,i,1.8860264,48.677673,-11.876744,-1.7320303916931152,0.2474963665008545,2.3797049522399902,6469.0474
PGC0000281_i.fits,i,24.308842,33.9042,-22.214218,3.211583375930786,13.507753372192383,35.71730422973633,296.30917
PGC0000212_i.fits,i,5.413785,56.27516,-17.80816,-2.5900912284851074,0.3485643267631531,3.6718101501464844,3798.5496
PGC0000670_i.fits,i,2.0838115,25.088684,-28.912745,-3.747218608856201,0.7820835113525391,5.3997931480407715,2566.2017
PGC0000825_i.fits,i,58.545197,508.9604,-33.29094,0.8449720740318298,8.485180854797363,25.39007568359375,22363.7
PGC0000963_i.fits,i,2.4036548,66.1607,-11.599991,-2.0245020389556885,-0.06843259185552597,2.096301317214966,8381.628
PGC0001058_i.fits,i,3.2286649,70.183,-18.248474,-3.3748390674591064,-0.14129900932312012,3.569662570953369,10097.517
PGC0000282_i.fits,i,2.0817268,26.54514,-25.753742,-4.885580062866211,-0.13683128356933594,5.122912883758545,3221.396
PGC0000451_i.fits,i,0.21290666,10.373594,-26.700226,-4.963375568389893,-0.42210686206817627,4.303000450134277,703.8315
PGC0000548_i.fits,i,1.3036009,23.558935,-32.10943,-5.797112464904785,-0.5599584579467773,4.998035907745361,2409.6716
PGC0000635_i.fits,i,3.9067671,22.401554,-30.39635,-4.12812614440918,1.127699375152588,6.956878185272217,1414.8446
PGC0000639_i.fits,i,6.049381,39.799313,-23.21854,-2.62695574760437,1.8864564895629883,6.941398620605469,2264.5967
PGC0000647_i.fits,i,5.0922346,113.44635,-10.557327,-0.5811696648597717,1.296788215637207,3.661665916442871,25812.953
PGC0003566_i.fits,i,3.8795843,17.871374,-29.919577,-2.5752644538879395,2.046574592590332,7.221951007843018,1556.8131
PGC0003569_i.fits,i,4.1805463,102.13356,-26.531233,-3.8550498485565186,0.7509350776672363,5.54799747467041,12027.147
PGC0003584_i.fits,i,7.3226833,78.92792,-16.284138,-1.257863998413086,2.0938258171081543,6.287323951721191,9635.365
PGC0003620_i.fits,i,12.06375,68.72054,-29.589226,-3.0257012844085693,2.687281608581543,10.04331111907959,4491.322
PGC0001221_i.fits,i,14.465652,188.54723,-32.053673,-4.181490421295166,1.862425446510315,8.760744094848633,18126.17
PGC0001224_i.fits,i,7.6847315,50.82298,-37.72076,-4.669731140136719,1.1164870262145996,7.6346659660339355,3398.9043
